Trip_ID,Trip_Distance,Customer_Since_Months,Life_Style_Index,Customer_Rating,Cancellation_Last_1Month,Var1,Var2,Var3,Type_of_Cab_B,Type_of_Cab_C,Type_of_Cab_D,Type_of_Cab_E,Confidence_Life_Style_Index_B,Confidence_Life_Style_Index_C,Destination_Type_B,Destination_Type_C,Destination_Type_D,Destination_Type_E,Destination_Type_F,Destination_Type_G,Destination_Type_H,Destination_Type_I,Destination_Type_J,Destination_Type_K,Destination_Type_L,Destination_Type_M,Destination_Type_N,Gender_Male,Surge_Pricing_Type
T0005689460,6.77,1.0,2.42769,3.905,0,40.0,46,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
T0005689461,29.47,10.0,2.78245,3.45,0,38.0,56,78,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
T0005689464,41.58,10.0,2.79805,3.50125,2,61.0,56,77,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
T0005689465,61.56,10.0,2.79805,3.45375,0,61.0,52,74,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
T0005689467,54.95,10.0,3.03453,3.4025,4,51.0,49,102,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
T0005689469,19.06,10.0,2.79805,2.5975,1,72.0,63,91,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
T0005689470,29.72,10.0,2.83958,2.975,1,83.0,50,75,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
T0005689472,18.44,2.0,2.81871,3.5825,0,103.0,46,63,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
T0005689473,106.8,3.0,2.79805,3.14625,0,61.0,58,92,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
T0005689474,107.19,5.0,3.04467,2.44375,1,61.0,58,83,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
T0005689475,46.07,10.0,2.95887,2.49125,2,89.0,48,69,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
T0005689477,90.93,0.0,2.95327,2.935,1,61.0,46,63,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
T0005689479,39.73,10.0,2.8487,3.12875,2,71.0,47,76,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
T0005689482,31.16,6.0,2.6917,2.1475,0,61.0,53,90,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
T0005689484,83.53,0.0,2.80658,2.07625,0,61.0,51,75,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
T0005689485,14.18,1.0,2.16167,3.1975,1,61.0,46,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
T0005689486,56.83,4.0,2.6615,1.39625,0,61.0,47,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
T0005689487,14.12,3.0,2.97795,4.93375,0,52.0,47,64,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
T0005689491,13.94,6.0,2.35974,1.7975,0,61.0,50,64,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
T0005689492,81.7,0.0,2.82307,2.7975,5,41.0,51,80,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
T0005689493,72.54,0.0,3.06236,2.0825,0,61.0,52,89,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
T0005689496,25.6,0.0,2.57278,4.265,2,61.0,45,66,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
T0005689497,8.65,9.0,2.48367,2.45,1,61.0,46,62,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
T0005689498,18.85,0.0,2.61439,4.14625,0,65.0,44,58,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
T0005689501,38.32,10.0,2.77751,3.605,2,61.0,51,73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
T0005689502,16.78,1.0,2.70013,1.6125,3,61.0,52,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
T0005689503,65.02,10.0,2.9851,2.4525,1,61.0,63,96,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
T0005689504,18.47,9.0,2.77751,1.44,5,61.0,55,85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
T0005689505,31.82,10.0,2.70044,3.15125,1,61.0,51,66,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
T0005689506,9.1,10.0,2.70352,2.425,0,61.0,45,61,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
T0005689507,64.51,10.0,2.66894,1.0775,0,61.0,51,71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
T0005689508,47.92,1.0,2.62154,4.225,2,61.0,46,66,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
T0005689509,18.34,4.0,2.59621,3.15875,0,61.0,53,72,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
T0005689510,63.88,10.0,2.97894,3.405,0,102.0,53,79,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
