Trip_Distance,Customer_Since_Months,Life_Style_Index,Customer_Rating,Cancellation_Last_1Month,Var1,Var2,Var3,Surge_Pricing_Type,Type_of_Cab_B,Type_of_Cab_C,Type_of_Cab_D,Type_of_Cab_E,Confidence_Life_Style_Index_B,Confidence_Life_Style_Index_C,Destination_Type_B,Destination_Type_C,Destination_Type_D,Destination_Type_E,Destination_Type_F,Destination_Type_G,Destination_Type_H,Destination_Type_I,Destination_Type_J,Destination_Type_K,Destination_Type_L,Destination_Type_M,Destination_Type_N,Gender_Male
6.77,1.0,2.42769,3.905,0,40.0,46,60,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.47,10.0,2.78245,3.45,0,38.0,56,78,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.58,10.0,2.79805,3.50125,2,61.0,56,77,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
61.56,10.0,2.79805,3.45375,0,61.0,52,74,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54.95,10.0,3.03453,3.4025,4,51.0,49,102,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19.06,10.0,2.79805,2.5975,1,72.0,63,91,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29.72,10.0,2.83958,2.975,1,83.0,50,75,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
18.44,2.0,2.81871,3.5825,0,103.0,46,63,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106.8,3.0,2.79805,3.14625,0,61.0,58,92,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107.19,5.0,3.04467,2.44375,1,61.0,58,83,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46.07,10.0,2.95887,2.49125,2,89.0,48,69,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90.93,0.0,2.95327,2.935,1,61.0,46,63,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
39.73,10.0,2.8487,3.12875,2,71.0,47,76,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
31.16,6.0,2.6917,2.1475,0,61.0,53,90,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83.53,0.0,2.80658,2.07625,0,61.0,51,75,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.18,1.0,2.16167,3.1975,1,61.0,46,57,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.83,4.0,2.6615,1.39625,0,61.0,47,80,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.12,3.0,2.97795,4.93375,0,52.0,47,64,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
13.94,6.0,2.35974,1.7975,0,61.0,50,64,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
81.7,0.0,2.82307,2.7975,5,41.0,51,80,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
72.54,0.0,3.06236,2.0825,0,61.0,52,89,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25.6,0.0,2.57278,4.265,2,61.0,45,66,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8.65,9.0,2.48367,2.45,1,61.0,46,62,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18.85,0.0,2.61439,4.14625,0,65.0,44,58,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38.32,10.0,2.77751,3.605,2,61.0,51,73,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16.78,1.0,2.70013,1.6125,3,61.0,52,85,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65.02,10.0,2.9851,2.4525,1,61.0,63,96,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18.47,9.0,2.77751,1.44,5,61.0,55,85,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31.82,10.0,2.70044,3.15125,1,61.0,51,66,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9.1,10.0,2.70352,2.425,0,61.0,45,61,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64.51,10.0,2.66894,1.0775,0,61.0,51,71,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.92,1.0,2.62154,4.225,2,61.0,46,66,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18.34,4.0,2.59621,3.15875,0,61.0,53,72,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
63.88,10.0,2.97894,3.405,0,102.0,53,79,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
30.93,6.0,2.65609,2.55625,0,70.0,51,83,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
36.1,6.0,2.70134,1.835,0,61.0,59,95,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.78,5.0,2.47188,2.18,3,81.0,51,87,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93.78,4.0,2.79805,3.33125,2,61.0,62,98,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.66,6.0,2.70811,3.12375,0,84.0,48,64,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75.85,7.0,2.79805,1.94375,0,96.0,52,84,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78.25,8.0,2.7719,1.08875,0,61.0,48,76,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87.2,6.0,3.21957,3.3125,0,61.0,51,86,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
37.04,1.0,2.60963,3.565,0,61.0,48,59,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.82,10.0,2.84043,2.8875,4,36.0,59,93,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
107.42,10.0,2.79805,1.0175,1,38.0,51,75,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106.9,2.0,2.99798,2.19375,0,61.0,48,70,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29.93,10.0,2.56887,4.145,0,73.0,48,72,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25.27,0.0,2.79805,1.5625,0,61.0,48,83,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2.83,0.0,2.42948,1.95,0,61.0,47,63,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.55,2.0,2.89871,3.2675,0,61.0,56,79,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
